slug,japanese_name,english_name,file,description,reference_features
kappa,河童,Kappa,public/assets/yokai/kappa.png,川辺に立つ親しみやすい河童。,頭の皿・水かき・甲羅・川辺。
tengu,天狗,Tengu,public/assets/yokai/tengu.png,山伏風の装束で羽うちわを持つ天狗。,赤い顔・長い鼻・羽うちわ・山伏風。
oni,鬼,Oni,public/assets/yokai/oni.png,角と金棒を持つ怖すぎない赤鬼。,角・金棒・虎柄の腰巻き。
rokurokubi,ろくろ首,Rokurokubi,public/assets/yokai/rokurokubi.png,首がやわらかく伸びた着物姿の妖怪。,長く伸びる首・人型の着物姿。
nekomata,猫又,Nekomata,public/assets/yokai/nekomata.png,尾が二股に分かれた利発そうな猫。,二股の尾・猫の妖怪。
karakasa-kozo,からかさ小僧,Karakasa-kozo,public/assets/yokai/karakasa-kozo.png,一本足で跳ねる片目の傘妖怪。,片目・一本足・傘の付喪神。
chochin-obake,提灯お化け,Chochin-obake,public/assets/yokai/chochin-obake.png,顔のある丸い提灯の付喪神。,提灯の体・顔・紙と竹骨・内側の灯り。
yuki-onna,雪女,Yuki-onna,public/assets/yokai/yuki-onna.png,静かな雪景色に立つ白い着物の女性。,白い着物・雪景色・静かで美しい印象。
nurikabe,ぬりかべ,Nurikabe,public/assets/yokai/nurikabe.png,道をふさぐ大きな壁の妖怪。,行く手をふさぐ壁・巨大な面・素朴な目鼻。
gashadokuro,がしゃどくろ / 巨大骸骨,Gashadokuro,public/assets/yokai/gashadokuro.png,山の向こうに現れる大きな骸骨。,国芳系の巨大骸骨イメージ・巨大さ・骸骨。
karasu-tengu,烏天狗,Karasu-tengu,public/assets/yokai/karasu-tengu.png,山道に立つからす顔の天狗。,からすのくちばし・黒い羽・山伏風・羽うちわ。
hitotsume-kozo,一つ目小僧,Hitotsume-kozo,public/assets/yokai/hitotsume-kozo.png,大きな一つ目の小さな小僧妖怪。,一つ目・小僧姿・着物・いたずら好きな表情。
zashiki-warashi,座敷童子,Zashiki-warashi,public/assets/yokai/zashiki-warashi.png,座敷に現れるやさしい子どもの妖怪。,子どもの姿・赤い着物・座敷・家に幸せを呼ぶ伝承。
bakeneko,化け猫,Bakeneko,public/assets/yokai/bakeneko.png,古い家にいる賢そうな猫の妖怪。,猫の妖怪・光る目・人に近いしぐさ・古い家。
kitsunebi,狐火,Kitsunebi,public/assets/yokai/kitsunebi.png,夜道にふわりと浮かぶ青白い狐火。,青白い火・狐の気配・夜道・森や社の雰囲気。
bake-danuki,化け狸,Bake-danuki,public/assets/yokai/bake-danuki.png,丸いお腹の親しみやすい狸の妖怪。,狸・変化・葉っぱ・丸い体・山里。
akaname,垢嘗,Akaname,public/assets/yokai/akaname.png,古いお風呂場に出る長い舌の妖怪。,長い舌・小さな体・風呂場・掃除の教訓。
azuki-arai,小豆洗い,Azuki-arai,public/assets/yokai/azuki-arai.png,川辺で小豆を洗う音の妖怪。,小豆・川辺・水音・小さな妖怪。
umibozu,海坊主,Umibozu,public/assets/yokai/umibozu.png,海から大きな頭を出す妖怪。,海面から現れる巨大な影・波・船との対比。
ningyo,人魚,Ningyo,public/assets/yokai/ningyo.png,海辺にたたずむ日本の人魚。,人の上半身・魚の下半身・海辺・神秘的な姿。
wanyudo,輪入道,Wanyudo,public/assets/yokai/wanyudo.png,燃える車輪に顔がある妖怪。,車輪・顔・炎・夜道を転がる姿。
kamaitachi,鎌鼬,Kamaitachi,public/assets/yokai/kamaitachi.png,風とともに走るいたちの妖怪。,いたち・風・鎌のような爪・すばやい動き。
kodama,木霊,Kodama,public/assets/yokai/kodama.png,古い木のそばにいる小さな森の精霊。,古木・森・小さな精霊・木目や葉のモチーフ。
yamanba,山姥,Yamanba,public/assets/yokai/yamanba.png,山奥に立つ知恵深い山姥。,年を重ねた女性・長い髪・山の服装・森の道。
oonyudo,大入道,Oonyudo,public/assets/yokai/oonyudo.png,道の先に大きく現れる坊主姿の妖怪。,巨大な人型・坊主頭・夜道・遠近感。
tsuchigumo,土蜘蛛,Tsuchigumo,public/assets/yokai/tsuchigumo.png,洞穴にいる大きな蜘蛛の妖怪。,蜘蛛・長い脚・糸・物語に出る妖怪。
nue,鵺,Nue,public/assets/yokai/nue.png,いくつもの動物が合わさった夜の妖怪。,猿の顔・狸の体・虎の足・蛇の尾。
hitodama,人魂,Hitodama,public/assets/yokai/hitodama.png,夜に浮かぶ青白い火の玉。,青白い火・空中に浮かぶ・尾を引く光・夜。
tofu-kozo,豆腐小僧,Tofu-kozo,public/assets/yokai/tofu-kozo.png,豆腐を持って歩く小僧の妖怪。,小僧姿・豆腐の盆・雨道・おとなしい表情。
